DAY,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,PRECIPITATION
27/02/1975,9.4,-1,4.2,0
28/02/1975,11.6,-3.9,3.8,0
01/03/1975,13.7,0.3,7,0
02/03/1975,14.3,2.2,8.3,0
03/03/1975,10.6,1.1,5.9,0
04/03/1975,12.4,6.2,9.3,9.2
05/03/1975,13.4,4.9,9.2,0.6
06/03/1975,11.3,2.3,6.8,0
07/03/1975,15.3,4.2,9.8,0
08/03/1975,13.3,3.4,8.4,0
09/03/1975,13.5,6.8,10.2,0
10/03/1975,14,8.8,11.4,9
11/03/1975,14.8,6.5,10.6,3.8
12/03/1975,12.5,7.3,9.9,0.8
13/03/1975,13.5,6.6,10.1,1.4
14/03/1975,14.5,4.4,9.5,0.2
15/03/1975,14.1,4.2,9.2,0.2
16/03/1975,13.8,4.4,9.1,0.2
17/03/1975,14.5,4.2,9.4,0
18/03/1975,13.6,4.1,8.9,0.4
19/03/1975,13.1,2.6,7.9,2.8
20/03/1975,12,0.4,6.2,0
21/03/1975,12.4,1.3,6.9,0
22/03/1975,10.4,0.4,5.4,0
23/03/1975,8.5,-1.4,3.5,0
24/03/1975,10.9,-0.8,5,0
25/03/1975,14.3,-1.1,6.6,0
26/03/1975,16.3,-1.1,7.6,0
27/03/1975,15.3,3.9,9.6,0
28/03/1975,17.9,9.4,13.7,0.1
29/03/1975,16.2,7.1,11.7,1.1
30/03/1975,11.9,6.4,9.2,2
31/03/1975,15.6,5.1,10.4,0
01/04/1975,15.5,3.3,9.4,0
02/04/1975,12.3,3.4,7.9,3.9
03/04/1975,12.9,1.2,7.1,0
04/04/1975,17.1,7.9,12.5,0
05/04/1975,20,8.7,14.3,3
06/04/1975,20.9,9.8,15.4,0.1
07/04/1975,15.8,6.8,11.3,3.6
08/04/1975,18.4,3.1,10.8,0
09/04/1975,18.3,5.3,11.8,0
10/04/1975,12.6,4.7,8.7,3
11/04/1975,15.4,4.2,9.8,0
12/04/1975,16.9,1.3,9.1,0
13/04/1975,21.4,3.1,12.2,0
14/04/1975,18.4,4.8,11.6,0
15/04/1975,19,5.3,12.2,0.1
16/04/1975,18.1,7.6,12.8,0.2
17/04/1975,19.4,3.9,11.7,0
18/04/1975,18.1,4.6,11.4,0
19/04/1975,18.6,4.6,11.6,0
20/04/1975,20.6,4.3,12.5,0
21/04/1975,20.7,7.3,14,0
22/04/1975,22,6.6,14.3,0
23/04/1975,20.2,8.1,14.2,0
24/04/1975,21.7,7.9,14.8,0
25/04/1975,26.2,7.4,16.8,0
26/04/1975,16.5,6.6,11.6,0
27/04/1975,16.5,3.5,10,0
28/04/1975,19.4,3.2,11.3,0
29/04/1975,20.8,3.6,12.2,0
30/04/1975,22.2,4.6,13.4,0
01/05/1975,22.9,6.4,14.6,0
02/05/1975,22.4,6.8,14.6,0
03/05/1975,23.5,5.3,14.4,0
04/05/1975,17.9,10.9,14.4,12.7
05/05/1975,16.9,10.6,13.8,4.8
06/05/1975,17.3,12.8,15,0.1
07/05/1975,18.1,10.2,14.2,14
08/05/1975,19.3,10,14.7,0.1
09/05/1975,21.5,9,15.2,0.2
10/05/1975,21.2,7.3,14.3,0
11/05/1975,18.5,9.6,14.1,14
12/05/1975,18.8,11.4,15.1,9
13/05/1975,19.5,12.7,16.1,2.8
14/05/1975,24.7,12.7,18.7,0
15/05/1975,25.3,12.4,18.9,0
16/05/1975,26.4,11.6,19,0
17/05/1975,26.7,10.9,18.8,0
18/05/1975,27.2,12.1,19.7,0
19/05/1975,28.7,13.2,21,0
20/05/1975,29.1,13.9,21.5,0
21/05/1975,27.5,15.2,21.4,0
22/05/1975,26.3,14.5,20.4,0.1
23/05/1975,24.3,14.2,19.3,3
24/05/1975,21.8,12.3,17.1,25.6
25/05/1975,22.8,9.8,16.3,0
26/05/1975,19.2,13.2,16.2,4.6
27/05/1975,23,9.8,16.4,0
28/05/1975,23.9,9.4,16.7,0
29/05/1975,23.3,10.5,16.9,0.6
30/05/1975,25.8,12.3,19.1,0
31/05/1975,26.2,9.6,17.9,0
01/06/1975,23,15.7,19.4,1
02/06/1975,24.1,11,17.6,0.6
03/06/1975,22.9,8.4,15.6,0
04/06/1975,18.8,9.4,14.1,4.4
05/06/1975,20.9,8.7,14.8,0
06/06/1975,20.7,8.6,14.6,0
07/06/1975,22.8,7.8,15.3,0
08/06/1975,26.9,13.2,20.1,8.4
09/06/1975,19.9,14.4,17.2,8.6
10/06/1975,22.8,14.7,18.8,0.6
11/06/1975,23,13.4,18.2,4.8
12/06/1975,18.3,16.1,17.2,22
13/06/1975,25.3,14.3,19.8,0.2
14/06/1975,28,14.9,21.4,0
15/06/1975,29.2,14.8,22,0.2
16/06/1975,28.2,16.5,22.4,38.4
17/06/1975,27,14,20.5,0
18/06/1975,23.2,11.7,17.4,0.2
19/06/1975,23.5,9.7,16.6,0
20/06/1975,26.4,13.8,20.1,0
21/06/1975,27.4,15.4,21.4,0
22/06/1975,28.4,14.3,21.4,0
23/06/1975,29.2,15,22.1,0
24/06/1975,27.7,15.8,21.8,0.4
25/06/1975,28.2,17,22.6,0
26/06/1975,29.4,17.9,23.7,0
27/06/1975,30.1,16.6,23.4,0
28/06/1975,30.3,16.6,23.5,0
29/06/1975,29.2,17.2,23.2,0
30/06/1975,27.1,13,20.1,3.6
01/07/1975,25.3,12.5,18.9,0
02/07/1975,23.8,13.8,18.8,0
03/07/1975,29.3,16.7,23,0
04/07/1975,29.7,16.1,22.9,28.9
05/07/1975,24.9,15.4,20.2,0.3
06/07/1975,27.9,16.5,22.2,0
07/07/1975,28,17.7,22.9,0
08/07/1975,29.5,16.1,22.8,0
09/07/1975,30.5,18.6,24.6,0
10/07/1975,30,19.1,24.6,0
11/07/1975,30.1,17.9,24,0
12/07/1975,28.3,16.3,22.3,0
13/07/1975,29.5,16.3,22.9,0
14/07/1975,31.6,16.5,24.1,0
15/07/1975,32.3,18.3,25.3,0
16/07/1975,32.5,18.3,25.4,0
17/07/1975,31.2,19.7,25.5,0
18/07/1975,32.8,20,26.4,0
19/07/1975,31.1,19.1,25.1,0
20/07/1975,29.1,16.6,22.8,0
21/07/1975,30.6,14.2,22.4,0
22/07/1975,29,18.2,23.6,0.1
23/07/1975,29.8,16.4,23.1,0
24/07/1975,30.5,18.9,24.7,0
25/07/1975,28.9,20.2,24.6,0.1
26/07/1975,26.5,18.2,22.4,0
27/07/1975,26.1,12.3,19.2,0
28/07/1975,28.1,12.9,20.5,0
29/07/1975,29.1,15.2,22.2,0
30/07/1975,29.6,17.2,23.4,0
31/07/1975,31.5,17.8,24.7,0
01/08/1975,31.1,15.8,23.4,0
02/08/1975,30.8,17.8,24.3,0
03/08/1975,30.6,17.7,24.2,0
04/08/1975,30.2,18,24.1,0
05/08/1975,28.4,19.7,24,0
06/08/1975,28.9,17.8,23.4,0
07/08/1975,30.5,17.5,24,0
08/08/1975,28.4,17.3,22.9,0
09/08/1975,29,17.4,23.2,0
10/08/1975,30,16.7,23.4,0
11/08/1975,29.6,18.8,24.2,5.6
12/08/1975,25.1,16.8,21,17.6
13/08/1975,27.6,16.3,22,0
14/08/1975,29,16.8,22.9,0
15/08/1975,30.6,17.4,24,0
16/08/1975,29.3,19.3,24.3,0
17/08/1975,29.7,17.3,23.5,0
18/08/1975,28.5,17.5,23,0.2
19/08/1975,28.4,16.9,22.6,0
20/08/1975,27.7,16.2,22,0
21/08/1975,28.1,14.1,21.1,0
22/08/1975,28.3,14,21.2,0
23/08/1975,26.2,16.2,21.2,0.7
24/08/1975,21.4,17,19.2,13.4
25/08/1975,21.7,14.8,18.3,89.8
26/08/1975,22.9,16.5,19.7,7
27/08/1975,25.9,19.7,22.8,0
28/08/1975,22.9,17.9,20.4,0.1
29/08/1975,23.5,17.5,20.5,2.6
30/08/1975,25.4,16.7,21.1,0.2
31/08/1975,26.4,16.7,21.5,0
01/09/1975,27,16.7,21.9,0
02/09/1975,26,17.3,21.7,7.3
03/09/1975,23.4,15.5,19.4,2.2
04/09/1975,27,16,21.5,0
05/09/1975,27.4,15.4,21.4,0
06/09/1975,26.8,15.7,21.3,1
07/09/1975,24.8,16.2,20.5,3.8
08/09/1975,24.9,14.9,19.9,0
09/09/1975,25.4,16.1,20.8,0
10/09/1975,25.4,14.2,19.8,5.2
11/09/1975,23.7,17.6,20.7,2
12/09/1975,26.8,15.7,21.3,0
13/09/1975,24.7,13.4,19,0
14/09/1975,24.6,11.9,18.2,0
15/09/1975,28.4,17,22.7,0
16/09/1975,27.5,20,23.8,0
17/09/1975,27.8,19,23.4,0
18/09/1975,29,16.6,22.8,0.2
19/09/1975,26.6,15.8,21.2,0
20/09/1975,25.9,14.4,20.2,0
21/09/1975,25.9,12.4,19.2,0
22/09/1975,26.5,13.3,19.9,0
23/09/1975,26.5,13.9,20.2,0
24/09/1975,25.8,13.8,19.8,0
25/09/1975,25.5,13.3,19.4,0
26/09/1975,26.1,11.6,18.9,0
27/09/1975,27.4,16.7,22.1,0
28/09/1975,26.5,15.4,21,0
29/09/1975,26.6,13.3,20,0
30/09/1975,25.4,16.8,21.1,0
01/10/1975,29,16.4,22.7,5.2
02/10/1975,25.2,12.2,18.7,0
03/10/1975,25.9,13.8,19.9,0
04/10/1975,24.2,12.5,18.4,3.2
05/10/1975,22.2,12.8,17.5,0
06/10/1975,21.8,9.8,15.8,0
07/10/1975,23.7,9.7,16.7,0
08/10/1975,22.2,13.3,17.8,0
09/10/1975,20.9,12.6,16.8,0
10/10/1975,15.5,10.7,13.1,13.4
11/10/1975,13.6,9.5,11.6,3.4
12/10/1975,11.2,8.7,10,22.9
13/10/1975,16.6,9.3,13,0.6
14/10/1975,17.6,6,11.8,0
15/10/1975,17.7,3.9,10.8,0.1
16/10/1975,15.6,10.4,13,0.8
17/10/1975,15.8,9.8,12.8,1.2
18/10/1975,15.8,6.5,11.1,0.8
19/10/1975,16.6,7.4,12,28.4
20/10/1975,16.9,9.9,13.4,5
21/10/1975,17.6,7.7,12.7,0
22/10/1975,17.7,5.8,11.8,2.6
23/10/1975,16.3,8.3,12.3,0
24/10/1975,17.8,8.3,13.1,0
25/10/1975,18,6.5,12.3,0
26/10/1975,17.5,5,11.3,0
27/10/1975,18.6,4.7,11.6,0
28/10/1975,20.2,5.5,12.8,0
29/10/1975,20.3,4.6,12.5,0
30/10/1975,19.8,4.7,12.3,0
31/10/1975,18.8,4.3,11.6,0
01/11/1975,18.2,8.7,13.5,0
02/11/1975,18.2,9.6,13.9,0
03/11/1975,18.3,9.7,14,0
04/11/1975,14.9,12,13.5,0
05/11/1975,15.6,10.9,13.2,1.2
06/11/1975,14.3,9.5,11.9,0.2
07/11/1975,12.1,8.4,10.3,7.4
08/11/1975,13.8,8.4,11.1,0.8
09/11/1975,11.8,7,9.4,8.6
10/11/1975,9.7,7.3,8.5,0.1
11/11/1975,14.3,6.6,10.5,0
12/11/1975,13.2,6.8,10,0
13/11/1975,10.6,6.5,8.6,22
14/11/1975,11,6.4,8.7,1.6
15/11/1975,8.6,5.1,6.9,0
16/11/1975,9.7,6,7.9,8.3
17/11/1975,13.4,6.7,10.1,5.4
18/11/1975,14.2,5.9,10.1,0.1
19/11/1975,12.3,4.7,8.5,0
20/11/1975,14.8,3.8,9.3,0
21/11/1975,11.9,4.1,8,0.6
22/11/1975,9.8,-0.9,4.5,0.6
23/11/1975,7.3,0.9,4.1,0
24/11/1975,6.5,-3,1.8,0
25/11/1975,7.1,-5,1.1,0
26/11/1975,6.3,-5.4,0.5,0
27/11/1975,9.3,0.8,5,0.1
28/11/1975,8,2.6,5.3,0.1
29/11/1975,10.9,0.3,5.6,0
30/11/1975,14,1.4,7.7,1.2
01/12/1975,11,4.2,7.6,0
02/12/1975,10.8,3.4,7.1,0.2
03/12/1975,9.1,1.7,5.4,0
04/12/1975,9.7,2,5.9,0
05/12/1975,9.3,1.3,5.3,0
06/12/1975,7.3,-0.3,3.5,0
07/12/1975,6.1,2.4,4.3,0
08/12/1975,8.5,2.2,5.4,0
09/12/1975,7.5,0.6,4.1,0
10/12/1975,8.3,1.3,4.8,0
11/12/1975,7,3.8,5.4,0.5
12/12/1975,6.3,3.6,4.9,2
13/12/1975,6.8,3.7,5.3,0.2
14/12/1975,7,5.1,6.1,1
15/12/1975,6.8,5,5.9,15.6
16/12/1975,7.4,5.6,6.5,5.4
17/12/1975,8.9,4.5,6.7,0
18/12/1975,9.1,1.5,5.3,8.6
19/12/1975,7.7,1.8,4.8,0
20/12/1975,5.4,-1.9,1.8,0
21/12/1975,6.1,-3.1,1.5,0
22/12/1975,2.7,-3.8,-0.6,0
23/12/1975,3.4,-3.5,0,0
24/12/1975,0.9,-4.3,-1.7,0
25/12/1975,2.3,-0.7,0.8,0
26/12/1975,5,-2,1.5,0
27/12/1975,3.8,-2.7,0.6,0
28/12/1975,3.8,-3.1,0.4,0
29/12/1975,5.7,-3.5,1.1,0
30/12/1975,4.7,-2.5,1.1,0
31/12/1975,6.1,-1.6,2.3,0
01/01/1976,5.4,-0.8,2.3,0
02/01/1976,5.5,-0.5,2.5,0
03/01/1976,4.6,0.5,2.6,0
04/01/1976,10.1,-1.4,4.4,0
05/01/1976,7.5,-4.3,1.6,0
06/01/1976,7.9,-2.9,2.5,0
07/01/1976,8.4,-3.3,2.5,0
08/01/1976,7.4,-1.2,3.1,0
09/01/1976,3.2,-0.9,1.2,0
10/01/1976,1.1,-1.7,-0.3,0
11/01/1976,2.4,-1.6,0.4,0
12/01/1976,2.6,-0.6,1,0
13/01/1976,4,0.9,2.5,0
14/01/1976,4,2.3,3.2,0
15/01/1976,7.1,-1.4,2.9,0
16/01/1976,7.9,-2.9,2.5,0
17/01/1976,2.5,-3.6,-0.5,0
18/01/1976,4.1,-1.9,1.1,0
19/01/1976,2.2,-1.7,0.3,0
20/01/1976,1.3,-0.5,0.4,0
21/01/1976,1.4,-1.2,0.1,0
22/01/1976,1.9,-3.2,-0.6,0
23/01/1976,4,-3.2,0.4,0
24/01/1976,5.5,-1.3,2.1,1.2
25/01/1976,5.5,0.4,3,3
26/01/1976,3.9,-1.8,1.1,0
27/01/1976,5.3,-3.3,1,0
28/01/1976,4.3,-4.6,-0.1,0
29/01/1976,6.4,-6.7,-0.2,0.1
30/01/1976,2.8,-0.3,1.3,1.2
31/01/1976,7.2,0,3.6,8
01/02/1976,3.4,0.8,2.1,3.2
02/02/1976,5.9,2.5,4.2,1.2
03/02/1976,8,0,4,0
04/02/1976,7.8,-0.7,3.6,0
05/02/1976,6.6,2.5,4.6,0
06/02/1976,8.4,4.2,6.3,3.8
07/02/1976,9,1.2,5.1,0
08/02/1976,7.1,-2.1,2.5,0
09/02/1976,6.9,-3.3,1.8,0
10/02/1976,7.6,-0.1,3.7,0
11/02/1976,7.6,-1.3,3.1,9.6
12/02/1976,7.2,1.2,4.2,6
13/02/1976,7,-2.4,2.3,0
14/02/1976,5.5,1.2,3.4,23.8
15/02/1976,6.1,2.6,4.4,5.8
16/02/1976,9.2,5.2,7.2,12.4
17/02/1976,9.8,5,7.4,0.3
18/02/1976,7.9,4.7,6.3,0.8
19/02/1976,8,4.5,6.3,0.5
20/02/1976,11.2,3,7.1,0.1
21/02/1976,12.4,0.6,6.5,0
22/02/1976,11.9,0.2,6.1,0
23/02/1976,13.7,1.1,7.4,0
24/02/1976,13.2,-0.3,6.5,0
25/02/1976,13,-0.4,6.3,0
26/02/1976,14.6,-0.7,7,0
27/02/1976,15.9,0.8,8.4,0
28/02/1976,16,0.8,8.4,0
29/02/1976,16.1,0.2,8.1,0
01/03/1976,13.3,0.7,7,0
02/03/1976,10.1,4.2,7.2,0
03/03/1976,9.5,1.4,5.5,0.1
04/03/1976,10.6,-0.3,5.2,0
05/03/1976,5.1,-0.5,2.3,0.6
06/03/1976,3.7,0,1.8,9.4
07/03/1976,4.3,-3.5,0.4,0
08/03/1976,0.9,-3.6,-1.3,10.8
09/03/1976,1.4,0.1,0.7,14
10/03/1976,5.8,0,2.9,0
11/03/1976,5.3,-3.7,0.8,0
12/03/1976,5.6,-4.9,0.4,0
13/03/1976,6.1,-1.9,2.1,7.3
14/03/1976,6.6,3.3,4.9,17.6
15/03/1976,9.8,3.9,6.9,0.4
16/03/1976,11.7,3.2,7.4,0
17/03/1976,13.3,2.3,7.8,0
18/03/1976,15.9,2.8,9.4,0
19/03/1976,16.3,1.8,9.1,0
20/03/1976,9.8,3.2,6.5,5
21/03/1976,10.1,0.6,5.3,0
22/03/1976,8.7,1.4,5.1,4
23/03/1976,7.8,2,4.9,10.4
24/03/1976,10.1,3.8,6.9,7
25/03/1976,13.1,1.3,7.2,0
26/03/1976,14.6,0.7,7.7,0
27/03/1976,16.1,1.6,8.9,0
28/03/1976,14.9,3.6,9.2,0
29/03/1976,16,2.5,9.3,0
30/03/1976,19.2,3.4,11.3,0
31/03/1976,19.4,2.8,11.1,0
01/04/1976,19.5,3.5,11.5,0
02/04/1976,20.2,4.5,12.3,0
03/04/1976,23.5,5.1,14.3,0
04/04/1976,19.7,5.9,12.8,0
05/04/1976,20.2,7.3,13.8,0
06/04/1976,18.5,8,13.2,0.3
07/04/1976,18.3,10.8,14.6,2.6
08/04/1976,13,8.1,10.6,0.6
09/04/1976,11.6,7.5,9.6,0
10/04/1976,12.1,5.7,8.9,0
11/04/1976,12.9,3.5,8.2,0
12/04/1976,16.3,4.8,10.6,0
13/04/1976,17.5,4.4,11,0
14/04/1976,18.9,4.8,11.9,0
15/04/1976,18.2,6.8,12.5,0
16/04/1976,19.5,6,12.8,0
17/04/1976,20,8,14,0
18/04/1976,20.1,8.8,14.4,0
19/04/1976,18.8,8.1,13.5,0.2
20/04/1976,18.7,8.1,13.4,0.4
21/04/1976,21.8,8.8,15.3,0
22/04/1976,21.8,6.6,14.2,3.4
23/04/1976,17.1,9.1,13.1,11
24/04/1976,17.9,7.9,12.9,1.8
25/04/1976,14.5,4.1,9.3,0.2
26/04/1976,12.9,3.5,8.2,0.1
27/04/1976,20,4.6,12.3,0
28/04/1976,18.2,6.6,12.4,17.6
29/04/1976,10.8,6,8.4,2.2
30/04/1976,12.5,3.1,7.8,0
01/05/1976,15.4,3.2,9.3,0
02/05/1976,16.4,4.3,10.4,0
03/05/1976,21.4,6,13.7,0
04/05/1976,23,5.4,14.2,0
05/05/1976,22.6,8.8,15.7,0
06/05/1976,25.1,7.1,16.1,0
07/05/1976,28.2,10.6,19.4,0
08/05/1976,26.1,11.3,18.7,0.6
09/05/1976,19.2,14.3,16.8,14.2
10/05/1976,19.9,11.9,15.9,0
11/05/1976,23,11.1,17.1,0
12/05/1976,25,10.7,17.9,0
13/05/1976,23.8,12,17.9,0
14/05/1976,20.2,7.8,14,0
15/05/1976,21.6,6.5,14.1,0
16/05/1976,23.9,6.9,15.4,0
17/05/1976,25.1,8.7,16.9,0
18/05/1976,27.4,9.9,18.7,0
19/05/1976,25.4,10.7,18,0
20/05/1976,26.7,12.9,19.8,0
21/05/1976,24.5,14.6,19.6,3.7
22/05/1976,20.4,9.9,15.2,6.4
23/05/1976,20.8,9.1,14.9,0
24/05/1976,22,8.4,15.2,0
25/05/1976,23.1,8.7,15.9,0
26/05/1976,21,12.2,16.6,0.6
27/05/1976,21.7,9.8,15.7,9
28/05/1976,20.8,6.9,13.9,0
29/05/1976,22.9,9.1,16,0
30/05/1976,25.2,9.6,17.4,0
31/05/1976,27.4,10.8,19.1,0
01/06/1976,26.1,14.6,20.4,0
02/06/1976,23.7,11.4,17.5,20.6
03/06/1976,22.9,8.1,15.5,0.6
04/06/1976,18.6,11.7,15.1,7.4
05/06/1976,16.2,12.6,14.4,20.4
06/06/1976,20.8,14,17.4,0.2
07/06/1976,21.7,14,17.9,0.1
08/06/1976,27.5,13,20.2,0
09/06/1976,30.1,14,22,0
10/06/1976,27.9,15.3,21.6,0
11/06/1976,27.4,14.9,21.2,0
12/06/1976,27.9,16.2,22.1,0
13/06/1976,28.6,15,21.8,0
14/06/1976,30.1,17.4,23.8,0
15/06/1976,29.4,17.6,23.5,0
16/06/1976,32.6,16.9,24.8,0
17/06/1976,22.7,15.9,19.3,0.4
18/06/1976,25.3,10.2,17.7,0
19/06/1976,25.4,12.1,18.8,0
20/06/1976,27.2,13.7,20.5,0
21/06/1976,28.3,16.1,22.2,0
22/06/1976,30,18.5,24.2,0
23/06/1976,30.1,17,23.6,0
24/06/1976,29,17.6,23.3,0
25/06/1976,28.2,16.4,22.3,0
26/06/1976,28,16.4,22.2,0
27/06/1976,28.8,15.2,22,0
28/06/1976,28.1,17.8,23,0
29/06/1976,28.7,16,22.4,0
30/06/1976,30.9,18,24.5,0
01/07/1976,31.1,18.9,25,0
02/07/1976,30.4,17.7,24.1,0
03/07/1976,30.8,16.6,23.7,0
04/07/1976,31.5,16.8,24.2,0
05/07/1976,31.9,19.2,25.6,0.1
06/07/1976,31,18.9,25,0
07/07/1976,23.5,17.3,20.4,12.2
08/07/1976,27.9,16.2,22.1,0
09/07/1976,30,16.2,23.1,0
10/07/1976,29.8,19,24.4,0
11/07/1976,29.5,19.6,24.6,0
12/07/1976,29.2,19.1,24.2,0
13/07/1976,27.5,18.3,22.9,0.6
14/07/1976,29.6,17.2,23.4,0
15/07/1976,31,18.3,24.7,0
16/07/1976,31.8,19.8,25.8,0
17/07/1976,31.9,20.4,26.1,0
18/07/1976,31.2,20,25.6,0
19/07/1976,30.3,19.2,24.8,1.9
20/07/1976,28.7,17.9,23.3,0.3
21/07/1976,29.1,17.2,23.2,0
22/07/1976,27.6,16.5,22.1,9.4
23/07/1976,22.9,14.2,18.6,74
24/07/1976,28.8,14.9,21.9,0.1
25/07/1976,26.2,15,20.6,6
26/07/1976,21.5,14.5,18,6.8
27/07/1976,23.6,14,18.8,0
28/07/1976,25.5,15.6,20.6,0.1
29/07/1976,28.2,15.8,22,0
30/07/1976,26.9,17.5,22.2,0
31/07/1976,28.8,16.5,22.7,3.2
01/08/1976,25.3,16.7,21,13.2
02/08/1976,24,13.4,18.7,0.1
03/08/1976,25.3,11.6,18.4,0
04/08/1976,27.3,12.7,20,10.2
05/08/1976,24.8,13.7,19.3,0
06/08/1976,24,13.6,18.8,0
07/08/1976,26.2,13.6,19.9,0
08/08/1976,26.8,15.4,21.1,0
09/08/1976,24.7,17.5,21.1,16.4
10/08/1976,22.2,17.9,20.1,7.6
11/08/1976,24.5,16.3,20.4,0
12/08/1976,25.9,14.7,20.3,0.2
13/08/1976,25.6,14.5,20.1,0
14/08/1976,26.6,14.6,20.6,12.8
15/08/1976,24.5,14.7,19.6,3.8
16/08/1976,23.2,16.4,19.8,11.4
17/08/1976,24.1,15.7,19.9,48.6
18/08/1976,18,15.2,16.6,49.2
19/08/1976,19.9,15.1,17.5,17.6
20/08/1976,25.2,13.5,19.4,0
21/08/1976,26.3,13.1,19.7,4.8
22/08/1976,22.5,13.2,17.9,0
23/08/1976,23,12.9,18,0
24/08/1976,24.3,11.2,17.7,0.2
25/08/1976,25.6,11.8,18.7,0
26/08/1976,24.7,12.2,18.5,0
27/08/1976,25.7,12.2,19,0
28/08/1976,25.9,16.2,21.1,0
29/08/1976,25.6,17.6,21.6,10.8
30/08/1976,23.3,16.6,19.9,0
31/08/1976,26.8,16.4,21.6,0.1
01/09/1976,20.9,13.5,17.2,7.8
02/09/1976,26.7,12.2,19.5,0
03/09/1976,25.7,12.5,19.1,37.6
04/09/1976,17.3,11.9,14.6,22.4
05/09/1976,22.2,9.7,16,0
06/09/1976,22,9.2,15.6,0
07/09/1976,21.6,10.4,16,0
08/09/1976,22.4,9.3,15.9,0
09/09/1976,23.3,8.4,15.9,0
10/09/1976,20.8,12.3,16.6,9
11/09/1976,21.1,9.3,15.2,0
12/09/1976,23.7,10.4,17.1,0
13/09/1976,23.9,16.6,20.2,1.6
14/09/1976,26,14.9,20.5,0
15/09/1976,24.8,12.4,18.6,0.1
16/09/1976,22.9,12.8,17.8,1.8
17/09/1976,22.7,9.7,16.2,0
18/09/1976,22.7,9.5,16.1,0
19/09/1976,24.4,10,17.2,0
20/09/1976,23.3,10.4,16.9,0
21/09/1976,21.8,8.4,15.1,0.2
22/09/1976,21.3,10.5,15.9,0
23/09/1976,21.1,8,14.6,0
24/09/1976,21.9,8.6,15.3,0
25/09/1976,22.7,10.1,16.4,0
26/09/1976,24.4,12.7,18.6,0
27/09/1976,25.6,14,19.8,0
28/09/1976,26.6,16,21.3,0
29/09/1976,24.4,17.7,21.1,7.6
30/09/1976,23.1,17.2,20.1,1.2
01/10/1976,24.7,15.9,20.3,0.6
02/10/1976,23,17.6,20.3,0.4
03/10/1976,23.8,16.4,20.1,6.2
04/10/1976,24.1,15.2,19.7,0.3
05/10/1976,19.2,13.6,16.4,9
06/10/1976,22.1,11.7,16.9,0
07/10/1976,22.8,10.7,16.8,0
08/10/1976,23,9.6,16.3,0
09/10/1976,22,10.3,16.2,0
10/10/1976,19.2,11.4,15.3,0
11/10/1976,18,14,16,4
12/10/1976,24,14.8,19.4,6.2
13/10/1976,21.3,11.1,16.2,0.1
14/10/1976,20,9.3,14.7,0.2
15/10/1976,16.6,10.7,13.7,2.6
16/10/1976,15,8,11.5,5.4
17/10/1976,17.7,8,12.8,0
18/10/1976,18.2,6.2,12.2,0
